岗位名称,公司名称,薪资,工作地点,学历,经验,融资情况,公司规模,福利待遇,发布日期,详情页
Python开发工程师,深圳市同和信息技术有限公司,1.7-2万,深圳-南山区,大专,3-4年经验,民营,1000-5000人,五险一金 定期体检 免费班车,12-03,https://jobs.51job.com/shenzhen-nsq/144336402.html?s=sou_sou_soulb&t=0_0
Python开发工程师,广州赛意信息科技股份有限公司,1-1.5万,深圳-龙华区,本科,2年经验,已上市,5000-10000人,五险一金 补充医疗保险 员工旅游 专业培训 年终奖金 绩效奖金 定期体检,12-02,https://jobs.51job.com/shenzhen-lhq/135532152.html?s=sou_sou_soulb&t=0_0
Python开发工程师,亿达信息技术有限公司,1.4-1.8万,深圳-福田区,本科,3-4年经验,民营,1000-5000人,五险一金 年终奖金 节假礼品 周末双休 定期体检,11-30,https://jobs.51job.com/shenzhen-ftq/144287120.html?s=sou_sou_soulb&t=0_0
Python/go软件开发,上海兆殷特科技有限公司,1.5-3万,深圳,本科,1年经验,民营,150-500人,五险一金 绩效奖金 年终奖金 固定底薪,11-30,https://jobs.51job.com/shenzhen/125995721.html?s=sou_sou_soulb&t=0_0
Python开发-驻场岗位,深圳市同和信息技术有限公司,1.4-1.9万,深圳-南山区,大专,5-7年经验,民营,1000-5000人,五险一金 定期体检 周末双休,12-01,https://jobs.51job.com/shenzhen-nsq/143861011.html?s=sou_sou_soulb&t=0_0
Python开发工程师,广州赛意信息科技股份有限公司,1-1.5万,深圳-龙华区,本科,2年经验,已上市,5000-10000人,,12-02,https://jobs.51job.com/shenzhen-lhq/135684284.html?s=sou_sou_soulb&t=0_0
高级软件工程师（Python）,傲讯全通科技（深圳）有限公司,1.2-2万,深圳,本科,5-7年经验,外资（非欧美）,50-150人,五险一金 绩效奖金 员工旅游,12-19,https://jobs.51job.com/shenzhen/141770405.html?s=sou_sou_soulb&t=0_0
Python开发工程师,深圳市中诺思科技股份有限公司,8千-1万·13薪,深圳-南山区,大专,2年经验,民营,150-500人,五险一金 年终奖金 员工旅游 专业培训 团队优秀 领导亲和 团建培训,11-23,https://jobs.51job.com/shenzhen-nsq/141609004.html?s=sou_sou_soulb&t=0_0
Python开发,北京汉克时代科技有限公司,1.3-2.5万,广州,本科,3-4年经验,民营,1000-5000人,五险一金 补充医疗保险 员工旅游 专业培训 弹性工作,11-22,https://jobs.51job.com/guangzhou/143725450.html?s=sou_sou_soulb&t=0_1
python开发工程师,广州赛意信息科技股份有限公司,1.5-2万,深圳-龙华区,本科,3-4年经验,已上市,5000-10000人,五险一金 免费班车 员工旅游 专业培训 年终奖金 定期体检,12-02,https://jobs.51job.com/shenzhen-lhq/123425481.html?s=sou_sou_soulb&t=0_0
python爬虫工程师（中高级）,深圳一科互联有限公司,1.6-2.5万,深圳-罗湖区,大专,3-4年经验,民营,少于50人,,12-12,https://jobs.51job.com/shenzhen-luohuqu/139390102.html?s=sou_sou_soulb&t=0_0
Python开发,中软国际科技服务有限公司,9千-1.8万,深圳-龙岗区,本科,1年经验,合资,10000人以上,五险一金 绩效奖金 年终奖金 弹性工作 员工旅游 定期体检 专业培训,11-21,https://jobs.51job.com/shenzhen-lgq/144078874.html?s=sou_sou_soulb&t=0_0
Python开发工程师,万宝盛华信息科技（上海）有限公司,1.3-2万,广州,大专,3-4年经验,外资（欧美）,1000-5000人,五险一金 弹性工作 定期体检,11-20,https://jobs.51job.com/guangzhou-thq/144054146.html?s=sou_sou_soulb&t=0_1
Python开发工程师,广州赛意信息科技股份有限公司,1-1.5万,深圳-龙华区,本科,2年经验,已上市,5000-10000人,五险一金 补充医疗保险 员工旅游 专业培训 年终奖金 绩效奖金 定期体检,12-02,https://jobs.51job.com/shenzhen-lhq/135532152.html?s=sou_sou_soulb&t=0_0
Python工程师,百芯智能制造科技（深圳）有限公司,1-1.2万,深圳-宝安区,大专,2年经验,民营,50-150人,五险一金 员工旅游 绩效奖金 年终奖金 弹性工作,12-19,https://jobs.51job.com/shenzhen-baq/132509929.html?s=sou_sou_soulb&t=0_0
Python开发工程师,万宝盛华信息科技（上海）有限公司,1.3-2万,广州,大专,3-4年经验,外资（欧美）,1000-5000人,五险一金 弹性工作 定期体检,11-20,https://jobs.51job.com/guangzhou-thq/144054146.html?s=sou_sou_soulb&t=0_1
Python数据开发,南京争锋信息科技有限公司,1-2万,深圳-福田区,大专,1年经验,民营,50-150人,五险一金 交通补贴 绩效奖金 年终奖金 节日福利 带薪年假 周末双休 定期团建 每年多次调薪 通讯补贴,11-19,https://jobs.51job.com/shenzhen-ftq/120147086.html?s=sou_sou_soulb&t=0_0
Python开发工程师,深圳市观麦网络科技有限公司,1-2万,深圳-南山区,大专,1年经验,民营,150-500人,五险一金 绩效奖金 交通补贴,11-19,https://jobs.51job.com/shenzhen-nsq/141391271.html?s=sou_sou_soulb&t=0_0
